Player,Age,Ht,YearInLeague,CumulativeG,CumulativeMP,CumulativeORB,CumulativeDRB,CumulativeAST,CumulativeSTL,CumulativeBLK,CumulativeDWS,Last2DWS,DWS_Next
Adam Keefe,-0.866782584,0.543397685,-0.842531969,-0.696103257,-0.742360044,-0.395530692,-0.547755351,-0.607336268,-0.655105584,-0.526274119,-0.610227513,-0.199901935,1.7
Adam Keefe,-0.619077354,0.543397685,-0.583750309,-0.426314087,-0.601184437,-0.174699275,-0.409018903,-0.583720178,-0.553953548,-0.453554728,-0.465166786,-0.074076334,2.3
Adam Keefe,-0.123666894,0.543397685,-0.066186987,0.091681119,-0.309606787,0.235883582,-0.105532925,-0.50814869,-0.326361467,-0.296480843,-0.157979362,0.261458602,1.7
Adam Keefe,0.371743566,0.543397685,0.451376334,0.537732547,-0.010692451,0.612114885,0.147372057,-0.416045938,-0.13529651,-0.191764919,0.063878222,-0.157960068,0.8
Adam Keefe,0.619448796,0.543397685,0.710157995,0.760758261,0.056449333,0.685725358,0.213127352,-0.389281035,-0.087530271,-0.153950836,0.132142094,-0.535436871,0.5
Adam Morrison,-1.114487814,0.274496224,-1.10131363,-0.937114916,-0.740803777,-0.712873617,-0.698775754,-0.568763321,-0.792784745,-0.581540857,-0.755288241,-0.577378738,0.6
Adam Morrison,-0.619077354,0.274496224,-0.842531969,-0.750061091,-0.66176767,-0.683429428,-0.653975443,-0.536487998,-0.767496736,-0.569905754,-0.704090337,-0.661262472,0.2
Adonal Foyle,-1.114487814,0.812299146,-1.10131363,-1.019850261,-0.926444142,-0.68179364,-0.745743822,-0.686056569,-0.834931426,-0.447737177,-0.746755257,-0.493495004,1
Adonal Foyle,-0.866782584,0.812299146,-0.842531969,-0.861573948,-0.858190739,-0.552566366,-0.662646471,-0.671886915,-0.792784745,-0.322659824,-0.661425417,-0.451553137,1.2
Adonal Foyle,-0.371372124,0.812299146,-0.324968648,-0.379550631,-0.512366083,-0.012756236,-0.302076225,-0.601038644,-0.632627354,0.526702666,-0.43103485,-0.116018201,1.6
Adonal Foyle,-0.123666894,0.812299146,-0.066186987,-0.095372705,-0.347290669,0.232612006,-0.13299118,-0.568763321,-0.531475318,1.015376975,-0.294507106,0.051749267,1.7
Adonal Foyle,0.371743566,0.812299146,0.451376334,0.357873101,-0.085059759,0.608843309,0.175552898,-0.526254359,-0.402225494,1.745479664,-0.081182506,-0.199901935,2.2
Adonal Foyle,0.619448796,0.812299146,0.710157995,0.638453837,0.103915463,0.878748374,0.366315513,-0.48217099,-0.329171246,2.207974992,0.106543142,0.0098074,2.5
Adonal Foyle,0.867154025,0.812299146,0.968939656,0.915437385,0.306674759,1.112666097,0.569362084,-0.456193291,-0.205540979,2.571571948,0.319867742,0.722819139,0.6
Adonal Foyle,1.114859255,0.812299146,1.227721317,1.088102454,0.359476659,1.196091299,0.623556009,-0.441236434,-0.174633413,2.717010731,0.371065646,0.051749267,1.3
Adonal Foyle,1.362564485,0.812299146,1.486502977,1.383071947,0.445515966,1.312232267,0.722550244,-0.42706678,-0.129676952,2.847905635,0.481994438,-0.451553137,0.2
Adonis Jordan,-0.866782584,-2.145616923,-1.10131363,-1.196112519,-0.990584555,-0.796298819,-0.823783074,-0.682120554,-0.871458551,-0.596084735,-0.823552113,-1.24844861,0
Adreian Payne,-0.866782584,0.812299146,-1.10131363,-1.102585607,-0.917217705,-0.722688347,-0.743576065,-0.673461321,-0.818072754,-0.57281453,-0.806486145,-1.080681142,0.4
Adreian Payne,-0.371372124,0.812299146,-0.583750309,-0.850782381,-0.848186168,-0.675250487,-0.660478714,-0.645122013,-0.750638063,-0.520456568,-0.755288241,-0.996797408,0
Adrian Branch,-0.866782584,0.005594763,-1.10131363,-1.102585607,-0.97502189,-0.763583054,-0.804273261,-0.684482163,-0.82650209,-0.590267184,-0.789420177,-0.912913674,0.3
Adrian Branch,-0.619077354,0.005594763,-0.842531969,-1.030641828,-0.940784026,-0.730867288,-0.784040862,-0.671886915,-0.78154563,-0.558270651,-0.763821225,-0.954855541,0.8
Adrian Caldwell,-0.866782584,0.274496224,-1.10131363,-1.034239017,-0.962571758,-0.742317806,-0.773202077,-0.69156699,-0.840550984,-0.546635549,-0.763821225,-0.661262472,0.7
Adrian Caldwell,0.371743566,0.274496224,-0.583750309,-0.857976759,-0.921108371,-0.670343122,-0.725511424,-0.685269366,-0.784355408,-0.517547792,-0.695557353,-0.912913674,0.5
Adrian Caldwell,0.619448796,0.274496224,-0.324968648,-0.674520124,-0.884758431,-0.601640015,-0.676375598,-0.680546148,-0.759067399,-0.503003914,-0.652892433,-0.996797408,0.4
Adrian Caldwell,0.867154025,0.274496224,-0.066186987,-0.512646621,-0.821507313,-0.506764295,-0.597613761,-0.671099712,-0.714110939,-0.479733709,-0.618760497,-0.870971807,0
Adrian Griffin,-0.371372124,-0.532208158,-1.10131363,-0.958698049,-0.785157374,-0.591825285,-0.649639929,-0.557742479,-0.545524212,-0.555361876,-0.644359449,0.513109804,0.5
Adrian Griffin,-0.123666894,-0.532208158,-0.842531969,-0.800421736,-0.743249339,-0.547659002,-0.606284789,-0.536487998,-0.494948194,-0.540817998,-0.601694529,-0.157960068,1.2
Adrian Griffin,0.124038336,-0.532208158,-0.583750309,-0.591784778,-0.589512438,-0.436425399,-0.489948498,-0.453044479,-0.284214785,-0.50591269,-0.499298722,-0.535436871,1.9
Adrian Griffin,0.619448796,-0.532208158,-0.066186987,-0.257246207,-0.422102625,-0.290840242,-0.349766879,-0.362516133,-0.048193368,-0.482642485,-0.320106058,-0.367669403,1.4
Adrian Griffin,0.867154025,-0.532208158,0.192594674,-0.009040171,-0.347957641,-0.205779252,-0.281843827,-0.320794374,0.07262712,-0.471007382,-0.200644282,-0.577378738,1.5
Adrian Griffin,1.114859255,-0.532208158,0.451376334,0.178013654,-0.209561081,-0.083095132,-0.172010806,-0.250733306,0.215925838,-0.444828401,-0.072649522,-0.032134467,1.2
Adrian Griffin,1.362564485,-0.532208158,0.710157995,0.372261856,-0.144531373,-0.017663601,-0.122152395,-0.204288329,0.305838759,-0.433193298,0.029746286,-0.116018201,0.3
Al Harrington,-2.105308733,0.543397685,-1.10131363,-1.142154685,-0.981580442,-0.768490419,-0.812221703,-0.693141396,-0.860219435,-0.593175959,-0.815019129,-1.164564876,0.9
Al Harrington,-1.857603503,0.543397685,-0.842531969,-0.962295238,-0.886648184,-0.69160837,-0.731292109,-0.663227682,-0.789974966,-0.566996978,-0.738222273,-0.82902994,2.2
Al Harrington,-1.362193043,0.543397685,-0.324968648,-0.523438188,-0.53037431,-0.339913891,-0.411909246,-0.518382329,-0.497757973,-0.453554728,-0.43103485,0.261458602,3.2
Al Harrington,-1.114487814,0.543397685,-0.066186987,-0.228468696,-0.256137915,-0.079823555,-0.157559093,-0.419981953,-0.298263679,-0.357565132,-0.157979362,0.680877272,4.1
Al Harrington,-0.866782584,0.543397685,0.192594674,0.05570923,0.01520827,0.186809934,0.091732961,-0.316858359,-0.073481377,-0.293572067,0.191872982,1.813307681,1
Al Harrington,-0.619077354,0.543397685,0.451376334,0.2931237,0.298671103,0.423999234,0.32007003,-0.153120133,0.16534982,-0.247031657,0.277202822,0.890586607,1.2
Al Harrington,-0.371372124,0.543397685,0.710157995,0.566510059,0.607923494,0.639923286,0.602601024,0.034234182,0.404181016,-0.206308798,0.37959863,-0.325727536,2.2
Al Harrington,-0.123666894,0.543397685,0.968939656,0.847090796,0.892831431,0.886927315,0.851893078,0.151527431,0.586816637,-0.136498182,0.567324278,0.177574868,1.7
Al Harrington,0.124038336,0.543397685,1.227721317,1.138463099,1.136275981,1.061956661,1.091791518,0.255438227,0.794740266,-0.089957772,0.712385006,0.387284203,2
Al Harrington,0.371743566,0.543397685,1.486502977,1.401057892,1.419294166,1.2238997,1.349032014,0.335732934,1.042000799,-0.025964707,0.883044686,0.303400469,1.3
Al Harrington,0.619448796,0.543397685,1.745284638,1.660055495,1.663294525,1.367849068,1.578091669,0.422325265,1.216207084,0.04966346,0.993973477,0.135633001,1.5
Al Harrington,0.867154025,0.543397685,2.004066299,1.922650287,1.84837908,1.492168977,1.763073599,0.501832769,1.325788456,0.078751216,1.121968237,-0.074076334,1.6
Al Harrington,1.114859255,0.543397685,2.26284796,2.152870379,2.044135178,1.609945733,1.99285584,0.571106633,1.488755625,0.113656524,1.258495981,0.051749267,0.1
Al Harrington,1.362564485,0.543397685,2.52162962,2.188842268,2.057363443,1.619760462,2.008030138,0.578978663,1.49999474,0.116565299,1.267028965,-0.535436871,0.5
Al Horford,-1.362193043,0.812299146,-1.10131363,-0.926323349,-0.717015132,-0.395530692,-0.43792233,-0.599464238,-0.702871824,-0.377926561,-0.567562594,1.26806341,3.5
Al Horford,-1.114487814,0.812299146,-0.842531969,-0.68531169,-0.467790163,-0.158341392,-0.091803797,-0.471150148,-0.553953548,-0.101592874,-0.268908154,1.477772745,3.9
Al Horford,-0.866782584,0.812299146,-0.583750309,-0.393939387,-0.151534572,0.227704641,0.315011931,-0.32236878,-0.3881766,0.16310571,0.063878222,1.855249548,3.7
