Player,Age,Ht,YearInLeague,CumulativeG,CumulativeMP,Cumulative2P,Cumulative2PA,Cumulative3P,Cumulative3PA,CumulativeFT,CumulativeFTA,CumulativeORB,CumulativeAST,CumulativeTOV,CumulativeOWS,Last2OWS,OWS_Next
Chauncey Billups,0.867154025,-1.07001108,1.227721317,1.228392823,1.397617596,0.357466557,0.529218795,3.196554604,3.035204698,1.873584178,1.514263411,-0.235223441,2.163618317,1.240867743,2.614541197,4.365101524,10.1
Gary Payton,1.362564485,-0.801109619,1.486502977,1.893872775,2.494896662,2.511930409,2.454417922,2.129749601,2.4893274,1.46878473,1.596817522,0.934365175,4.175709204,2.529126746,3.211235291,3.933183342,10.1
James Harden,-0.866782584,-0.532208158,-0.324968648,-0.14573335,-0.014694279,-0.260175976,-0.27202381,1.10904111,1.081987489,0.671033622,0.526643593,-0.505128506,0.087763987,0.103887609,0.72876269,3.381287886,10.1
John Stockton,1.362564485,-1.607814002,1.486502977,2.01258001,2.225996038,1.592751623,1.389050285,0.983922005,0.955265973,2.173728159,1.967174954,0.167180475,7.485110646,3.389027688,3.926142367,3.837201523,10.1
Kevin Garnett,0.124038336,1.081200606,0.968939656,1.275156279,1.94219972,2.631024559,2.637785301,-0.07959039,-0.007330156,1.659336665,1.663466712,2.350957821,1.710976588,1.912864405,2.406261182,4.077156069,10.1
Jimmy Butler,-0.123666894,0.274496224,-0.066186987,-0.055803627,0.120145099,-0.092937383,-0.082322498,0.279303886,0.355775726,0.475545108,0.391073081,-0.083095132,-0.038188494,-0.279882997,0.59929133,2.757406067,10
John Stockton,1.610269715,-1.607814002,1.745284638,2.307549503,2.550032962,1.811302058,1.576851417,1.296719768,1.229423099,2.404760039,2.180755313,0.255513041,8.206188601,3.780760339,4.494690514,4.02916516,10
Pau Gasol,0.619448796,1.350102067,0.968939656,1.116879966,1.582257504,2.033019891,1.879930142,-0.474703354,-0.463040222,2.228030524,2.311024185,2.087595909,0.932432814,1.597567393,2.496328216,3.213319704,10
Russell Westbrook,-0.123666894,-1.07001108,0.451376334,0.606079137,0.916397753,1.277912301,1.468541152,0.799535955,1.062491871,1.982188908,1.792978207,0.553226507,2.151810272,2.008408954,1.195985425,1.749596974,10
Elton Brand,-1.362193043,0.274496224,-0.842531969,-0.660131368,-0.342955355,-0.081534751,-0.06965463,-0.533970299,-0.558081359,-0.087224857,-0.030785997,0.234247794,-0.386132223,-0.209816994,-0.171907641,1.221696974,9.9
