Player,Age,Ht,YearInLeague,CumulativeG,CumulativeMP,Cumulative2P,Cumulative2PA,Cumulative3P,Cumulative3PA,CumulativeFT,CumulativeFTA,CumulativeORB,CumulativeAST,CumulativeTOV,CumulativeOWS,Last2OWS
J.J. Redick,1.656182351,-0.864597482,1.552291974,1.4228968,1.162775248,0.398159969,0.432178169,2.947756771,2.548984879,0.935462386,0.723302168,-0.413469972,0.52701412,0.538026013,-0.221713179,1.552036854
J.R. Smith,1.416541818,-0.271353975,2.01311532,2.067059971,1.863648237,0.872026191,0.988349539,4.059462705,4.014615397,0.769625885,0.84459305,0.238066274,0.961394946,1.27652604,-0.221713179,-0.468862904
Jabari Bird,-0.74022298,-0.271353975,-0.982236428,-0.983052644,-0.844236811,-0.701235702,-0.709453878,-0.637678923,-0.66462019,-0.637057848,-0.645010589,-0.655050827,-0.605287224,-0.744961323,-0.227006067,-0.605410185
Jabari Parker,-0.979863513,0.321889533,-0.291001409,-0.435513948,-0.268082144,-0.04381141,-0.065414591,-0.377544643,-0.387758564,-0.230270666,-0.22579898,-0.127965325,-0.325659355,-0.286528043,-0.232298954,0.2138735
Jack Cooley,-0.021301381,0.618511286,-0.751824755,-0.950844485,-0.838058489,-0.69472655,-0.699690776,-0.645041214,-0.671016333,-0.620474198,-0.624542752,-0.622107983,-0.606053327,-0.748090561,-0.237591842,-0.578100729
Jacob Pullen,0.457979686,-1.754462743,-0.982236428,-1.015260802,-0.855650998,-0.708395768,-0.715311739,-0.645041214,-0.670102598,-0.642910901,-0.654865473,-0.666031775,-0.611416054,-0.755913654,-0.237591842,-0.660029098
Jacob Wiley,-0.74022298,0.025267779,-0.982236428,-1.00881917,-0.852823631,-0.709046683,-0.714986303,-0.642587117,-0.669188863,-0.641935392,-0.653349337,-0.662371459,-0.609883846,-0.757478273,-0.237591842,-0.660029098
Jae Crowder,0.218339152,-0.271353975,0.169821937,0.466314491,0.294249837,-0.122572142,-0.141892222,0.736615388,0.835732248,0.035067736,0.011476307,-0.062079637,-0.123407965,-0.169181641,-0.24288473,0.732753168
Jahlil Okafor,-0.979863513,1.211754794,-0.521413082,-0.602996373,-0.533959407,-0.244293274,-0.266534489,-0.64013302,-0.661878985,-0.389278605,-0.366041561,-0.256076384,-0.507992047,-0.388228259,-0.24288473,-0.550791273
JaKarr Sampson,-0.500582447,0.618511286,-0.521413082,-0.48060537,-0.580349177,-0.526790444,-0.538599595,-0.522336365,-0.488269385,-0.49365805,-0.478993695,-0.47935566,-0.510290358,-0.516526993,-0.24288473,-0.687338554
